ID	timestamp	Self_Esteem1	Self_Esteem2	Self_Esteem3
314	2022-05-11 22:52:00	1	1	1
315	2022-05-11 22:54:00	5	2	4
316	2022-05-11 22:54:00	2	4	1
317	2022-05-11 22:55:00	1	3	4
318	2022-05-11 22:57:00	1	3	1
319	2022-05-11 23:02:00	4	4	4
320	2022-05-11 23:11:00	2	2	1
321	2022-05-11 23:12:00	4	2	2
322	2022-05-11 23:16:00	1	5	1
323	2022-05-11 23:17:00	2	3	1
324	2022-05-11 23:22:00	1	3	3
325	2022-05-11 23:23:00	4	1	1
326	2022-05-11 23:27:00	1	3	1
327	2022-05-11 23:33:00	1	3	1
328	2022-05-11 23:34:00	2	3	1
329	2022-05-11 23:35:00	2	3	1
330	2022-05-11 23:37:00	4	2	3
331	2022-05-11 23:38:00	4	2	1
332	2022-05-11 23:40:00	2	1	3
333	2022-05-11 23:41:00	2	2	4
334	2022-05-11 23:43:00	3	3	1
335	2022-05-11 23:54:00	2	4	2
336	2022-05-11 23:59:00	2	3	2
337	2022-05-12 00:07:00	5	2	2
338	2022-05-12 00:16:00	4	3	3
339	2022-05-12 00:22:00	2	3	1
340	2022-05-12 00:22:00	5	1	4
341	2022-05-12 00:26:00	1	3	1
342	2022-05-12 00:30:00	5	1	4
343	2022-05-12 00:32:00	4	3	2
344	2022-05-12 00:41:00	5	5	5
346	2022-05-12 00:52:00	4	4	3
347	2022-05-12 00:54:00	2	3	3
348	2022-05-12 00:55:00	5	1	5
349	2022-05-12 01:12:00	1	2	2
350	2022-05-12 01:30:00	2	3	2
351	2022-05-12 01:36:00	4	2	3
352	2022-05-12 02:05:00	5	2	3
353	2022-05-12 02:06:00	1	3	2
354	2022-05-12 02:10:00	5	5	5
355	2022-05-12 02:18:00	3	3	1
356	2022-05-12 02:30:00	5	3	3
357	2022-05-12 03:02:00	5	5	5
358	2022-05-12 03:24:00	5	2	3
359	2022-05-12 03:24:00	3	3	4
360	2022-05-12 03:26:00	5	1	2
361	2022-05-12 03:37:00	3	4	1
362	2022-05-12 03:47:00	5	3	2
363	2022-05-12 03:57:00	5	2	4
364	2022-05-12 04:35:00	5	1	2
365	2022-05-12 04:46:00	2	3	2
366	2022-05-12 05:24:00	2	3	4
367	2022-05-12 08:09:00	4	3	1
368	2022-05-12 08:41:00	2	3	1
369	2022-05-12 09:25:00	5	2	4
370	2022-05-12 10:10:00	1	3	3
371	2022-05-12 10:57:00	2	3	4
372	2022-05-12 11:06:00	2	4	3
373	2022-05-12 11:06:00	4	3	4
374	2022-05-12 13:15:00	3	3	2
375	2022-05-12 17:12:00	2	2	2
376	2022-05-12 18:11:00	3	2	2
377	2022-05-12 18:16:00	3	3	2
378	2022-05-12 18:33:00	1	1	1
379	2022-05-12 18:36:00	1	1	1
380	2022-05-12 18:58:00	5	5	1
381	2022-05-12 19:12:00	5	1	1
382	2022-05-12 19:12:00	4	2	4
383	2022-05-12 19:12:00	2	2	1
384	2022-05-12 19:15:00	3	2	4
385	2022-05-12 19:23:00	5	1	1
386	2022-05-12 19:40:00	2	3	1
387	2022-05-12 19:41:00	5	3	1
388	2022-05-12 19:47:00	3	2	1
389	2022-05-12 19:51:00	3	3	2
390	2022-05-12 20:08:00	4	3	3
391	2022-05-12 20:13:00	1	3	1
392	2022-05-12 20:17:00	1	3	1
393	2022-05-12 21:00:00	2	3	2
394	2022-05-12 21:06:00	1	2	3
395	2022-05-12 21:10:00	4	3	2
396	2022-05-12 21:13:00	3	4	3
397	2022-05-12 21:25:00	4	1	4
398	2022-05-12 21:31:00	5	2	4
399	2022-05-12 21:33:00	2	3	3
400	2022-05-12 21:53:00	4	2	3
401	2022-05-12 23:01:00	3	3	4
402	2022-05-12 23:56:00	5	1	3
403	2022-05-13 00:15:00	3	3	3
404	2022-05-13 00:21:00	4	4	4
405	2022-05-13 00:27:00	5	5	5
406	2022-05-13 01:06:00	5	1	3
407	2022-05-13 01:16:00	2	1	1
408	2022-05-13 01:20:00	5	2	5
409	2022-05-13 01:25:00	1	2	2
410	2022-05-13 01:27:00	4	2	4
411	2022-05-13 01:30:00	2	3	1
412	2022-05-13 01:46:00	4	4	4
