time_period,state,population,cohort,point_estimate
2018-19,Tennessee,all,All,26
2019-20,Tennessee,all,All,31
2009-11,Texas,all,All,20
2012-14,Texas,all,All,18
2013-15,Texas,all,All,17
2014-16,Texas,all,All,17
2016-17,Texas,all,All,19
2017-18,Texas,all,All,20
2018-19,Texas,all,All,24
2019-20,Texas,all,All,30
2009-11,Utah,all,All,23
2012-14,Utah,all,All,26
2013-15,Utah,all,All,23
2014-16,Utah,all,All,21
2016-17,Utah,all,All,31
2017-18,Utah,all,All,30
2018-19,Utah,all,All,28
2019-20,Utah,all,All,34
2009-11,Vermont,all,All,24
2012-14,Vermont,all,All,18
2013-15,Vermont,all,All,21
2014-16,Vermont,all,All,19
2016-17,Vermont,all,All,21
2017-18,Vermont,all,All,23
2018-19,Vermont,all,All,25
2019-20,Vermont,all,All,27
2009-11,Virginia,all,All,22
2012-14,Virginia,all,All,23
2013-15,Virginia,all,All,22
2014-16,Virginia,all,All,24
2016-17,Virginia,all,All,28
2017-18,Virginia,all,All,29
2018-19,Virginia,all,All,28
2019-20,Virginia,all,All,32
2009-11,Washington,all,All,26
2012-14,Washington,all,All,23
2013-15,Washington,all,All,24
2014-16,Washington,all,All,24
2016-17,Washington,all,All,25
2017-18,Washington,all,All,24
2018-19,Washington,all,All,24
2019-20,Washington,all,All,22
2009-11,West Virginia,all,All,26
2012-14,West Virginia,all,All,23
2013-15,West Virginia,all,All,22
2014-16,West Virginia,all,All,22
2016-17,West Virginia,all,All,20
2017-18,West Virginia,all,All,23
2018-19,West Virginia,all,All,22
2019-20,West Virginia,all,All,18
2009-11,Wisconsin,all,All,22
2012-14,Wisconsin,all,All,19
2013-15,Wisconsin,all,All,19
2014-16,Wisconsin,all,All,18
2016-17,Wisconsin,all,All,22
2017-18,Wisconsin,all,All,25
2018-19,Wisconsin,all,All,23
2019-20,Wisconsin,all,All,21
2009-11,Wyoming,all,All,17
2012-14,Wyoming,all,All,21
2013-15,Wyoming,all,All,21
2014-16,Wyoming,all,All,21
2016-17,Wyoming,all,All,19
2017-18,Wyoming,all,All,20
2018-19,Wyoming,all,All,25
2019-20,Wyoming,all,All,27
